time_AKDT	DHT11_T	DHT11_T	P36_T	SHT31_T	SHT31_H
20181209_040401	22	14	25.11	22.68	18.61
20181209_040412	22	14	24.54	22.72	18.36
20181209_040422	22	14	25.51	22.68	18.15
20181209_040432	22	14	24.46	22.62	18.11
20181209_040443	22	13	25.11	22.58	18.24
20181209_040453	22	13	25.11	23.56	69.75
20181209_040503	22	59	26.07	24.05	65.81
20181209_040514	23	59	25.83	23.75	26.32
20181209_040524	23	41	25.51	23.42	18.73
20181209_040534	23	29	25.43	23.20	18.10
20181209_040545	23	23	25.11	23.06	18.09
20181209_040555	23	19	25.19	23.09	22.63
20181209_040605	23	18	25.27	23.17	22.08
20181209_040616	23	20	25.11	23.20	23.05
20181209_040626	23	20	25.43	23.27	20.97
20181209_040636	23	20	24.62	23.27	21.03
20181209_040647	23	19	24.62	23.30	19.63
20181209_040657	23	18	25.11	23.31	18.59
20181209_040707	23	17	25.35	23.31	18.94
20181209_040718	23	16	25.75	23.31	18.55
20181209_040728	23	16	25.59	23.35	26.38
20181209_040738	23	19	25.43	23.38	24.44
20181209_040749	23	21	25.27	23.40	24.59
20181209_040759	23	20	25.11	23.42	27.69
20181209_040809	23	19	24.78	23.40	25.06
20181209_040820	23	20	25.11	23.42	27.51
20181209_040830	23	19	25.75	23.44	26.75
20181209_040840	23	19	25.51	23.45	26.46
20181209_040850	23	20	25.51	23.45	27.78
20181209_040901	23	19	25.67	23.44	24.14
20181209_040911	23	17	25.35	23.46	26.90
20181209_040921	23	18	25.59	23.48	26.30
20181209_040932	23	18	25.67	23.48	26.80
20181209_040942	23	17	25.11	23.44	26.53
20181209_040952	23	16	25.67	23.40	25.22
20181209_041003	23	16	25.83	23.38	23.95
20181209_041013	23	16	24.54	23.34	21.17
20181209_041023	23	16	25.27	23.32	21.50
20181209_041034	23	15	25.19	23.35	24.44
20181209_041044	23	15	25.59	23.38	22.39
20181209_041054	23	14	24.70	23.42	23.01
20181209_041105	23	13	25.67	23.32	18.89
20181209_041115	23	13	25.43	23.31	23.04
20181209_041136	23	14	24.70	23.25	23.95
20181209_041146	23	15	25.51	23.23	22.48
20181209_041207	23	15	25.51	23.23	24.25
20181209_041217	23	15	25.75	23.18	21.62
20181209_041227	23	15	25.11	23.18	24.01
20181209_041238	23	15	24.86	23.17	25.42
20181209_041248	23	15	25.51	23.13	22.11
20181209_041258	23	15	25.19	23.15	20.93
20181209_041309	23	17	25.19	23.14	23.32
20181209_041319	23	17	25.75	23.17	20.55
20181209_041329	23	17	24.86	23.18	22.78
20181209_041340	23	17	25.43	23.20	20.59
20181209_041350	23	17	24.86	23.18	24.95
20181209_041400	23	16	25.19	23.15	21.34
20181209_041410	23	18	25.43	23.17	24.76
20181209_041421	23	19	25.99	23.18	25.46
20181209_041431	23	17	25.75	23.20	24.71
20181209_041441	23	18	25.43	23.23	21.72
20181209_041452	23	17	24.30	23.21	21.54
20181209_041502	23	16	25.43	23.23	21.98
